GEOID,total_emp,basic_emp,retail_emp,service_emp,total_hhsE,no_vehE,hh_1personE,hh_2personE,hh_3personE,hh_4person_plusE,inc_quint_1,inc_quint_2,inc_quint_3,inc_quint_4,inc_quint_5,geometry
36029014604,1685,248,95,1342,3050,225,750,921,541,838,192,428,372,368,1690,"list(list(c(-78.69695, -78.696937, -78.696936, -78.696922, -78.696946, -78.696918, -78.687294, -78.684059, -78.65264, -78.652665, -78.652402, -78.652351, -78.652341, -78.64712, -78.647143, -78.667061, -78.677014, -78.677141, -78.696921, -78.696937, -78.69695, 43.016563, 43.018604, 43.023211, 43.0274, 43.0334, 43.043992, 43.043749, 43.043668, 43.04309, 43.032443, 43.018523, 43.015985, 43.015519, 43.014046, 42.999663, 43.000266, 43.000255, 43.000255, 43.000239, 43.011124, 43.016563)))"
36029016700,3352,2502,69,781,1090,279,509,289,174,118,362,326,188,107,107,"list(list(c(-78.814359, -78.814108, -78.814039, -78.814177, -78.807592, -78.80384, -78.800709, -78.799549, -78.799757, -78.799904, -78.804151, -78.804918, -78.808645, -78.809594, -78.81998, -78.814359, 42.87991, 42.88083, 42.884095, 42.884788, 42.88472, 42.884679, 42.885035, 42.884582, 42.876333, 42.871731, 42.871817, 42.871827, 42.871877, 42.871892, 42.872059, 42.87991)))"
36029006901,338,7,10,321,1458,497,477,275,306,400,583,490,225,44,116,"list(list(c(-78.898233, -78.896256, -78.893526, -78.892701, -78.891591, -78.888792, -78.886155, -78.885442, -78.886, -78.887126, -78.888232, -78.88936, -78.890471, -78.892722, -78.894207, -78.895685, -78.899707, -78.898233, 42.913457, 42.912833, 42.912659, 42.91266, 42.913229, 42.914649, 42.911336, 42.90933, 42.909045, 42.908477, 42.907908, 42.907331, 42.906768, 42.90563, 42.9072, 42.908778, 42.913043, 42.913457)))"
36029009402,3411,37,268,3106,1974,54,667,610,325,372,252,236,317,207,962,"list(list(c(-78.783916, -78.783875, -78.782223, -78.779461, -78.778179, -78.773076, -78.767869, -78.764516, -78.764375, -78.761925, -78.759231, -78.75638, -78.755498, -78.760899, -78.764207, -78.76637, -78.76838, -78.774409, -78.778351, -78.778586, -78.783999, -78.783916, 42.975708, 42.978687, 42.97851, 42.978366, 42.978288, 42.978164, 42.978107, 42.97479, 42.974669, 42.972953, 42.968184, 42.96561, 42.961076, 42.960192, 42.959714, 42.959315, 42.959034, 42.960404, 42.961651, 42.961726, 42.963409, 
42.975708)))"
36063021300,105,11,31,63,884,218,386,216,114,168,480,233,95,68,8,"list(list(c(-79.041498, -79.038969, -79.033593, -79.033194, -79.033144, -79.033111, -79.0331, -79.038925, -79.041356, -79.041412, -79.041498, 43.095057, 43.09509, 43.09511, 43.095112, 43.09348, 43.091482, 43.088449, 43.088577, 43.088603, 43.091383, 43.095057)))"
36029012901,3904,321,1827,1756,3273,213,953,1548,230,542,702,869,693,444,565,"list(list(c(-78.823852, -78.822948, -78.822955, -78.822998, -78.821937, -78.820864, -78.82303, -78.822942, -78.811704, -78.811416, -78.810467, -78.803819, -78.79726, -78.794891, -78.794882, -78.794075, -78.791932, -78.789933, -78.795935, -78.796239, -78.796167, -78.80044, -78.803837, -78.811439, -78.81357, -78.816603, -78.823916, -78.823852, 42.789263, 42.789973, 42.791689, 42.795589, 42.79711, 42.797095, 42.798869, 42.804912, 42.804685, 42.804679, 42.80453, 42.804513, 42.804378, 42.796732, 42.796702, 
42.794093, 42.789443, 42.782003, 42.782056, 42.775692, 42.767868, 42.768469, 42.768953, 42.770039, 42.77073, 42.770801, 42.771905, 42.789263)))"
36029011100,380,33,65,282,889,64,239,362,118,170,160,186,249,160,134,"list(list(c(-78.799549, -78.789061, -78.78458, -78.784774, -78.784986, -78.794851, -78.795855, -78.799757, -78.799549, 42.884582, 42.884443, 42.884355, 42.877431, 42.876619, 42.876277, 42.876259, 42.876333, 42.884582)))"
36063024101,233,105,16,112,1597,19,418,622,264,293,225,486,261,259,366,"list(list(c(-78.636472, -78.634654, -78.635055, -78.554136, -78.466429, -78.464062, -78.463992, -78.461858, -78.461245, -78.460416, -78.465455, -78.473159, -78.472929, -78.479659, -78.480091, -78.483852, -78.534861, -78.566638, -78.576209, -78.621752, -78.636648, -78.636472, 43.249781, 43.265397, 43.306341, 43.304209, 43.302775, 43.271299, 43.270434, 43.241961, 43.231901, 43.216222, 43.216187, 43.216137, 43.221856, 43.221856, 43.216749, 43.216139, 43.216639, 43.217093, 43.217192, 43.217857, 43.218889, 
43.249781)))"
36029010002,2167,616,50,1501,2251,308,878,768,380,225,650,589,509,260,243,"list(list(c(-78.742522, -78.739129, -78.739178, -78.737236, -78.725178, -78.723852, -78.713741, -78.713353, -78.710815, -78.700374, -78.696975, -78.696935, -78.696938, -78.70301, -78.703302, -78.710656, -78.710702, -78.712569, -78.722301, -78.724154, -78.724732, -78.738559, -78.7399, -78.740477, -78.742522, 42.926132, 42.926141, 42.929131, 42.930507, 42.932897, 42.933182, 42.935068, 42.935196, 42.936793, 42.937188, 42.937933, 42.93424, 42.929984, 42.929051, 42.927924, 42.928012, 42.921957, 42.921963, 
42.922105, 42.922057, 42.922059, 42.922127, 42.921833, 42.922582, 42.926132)))"
36029015401,524,14,124,386,1086,54,269,428,233,156,95,223,207,274,287,"list(list(c(-79.001128, -78.982513, -78.97923, -78.978838, -78.976548, -78.974755, -78.975894, -78.980087, -78.979891, -78.983073, -78.991424, -79.000524, -78.999421, -79.001282, -79.001128, 42.700746, 42.706618, 42.707686, 42.709903, 42.710651, 42.709104, 42.696759, 42.696806, 42.69917, 42.699953, 42.695862, 42.692074, 42.696146, 42.698731, 42.700746)))"
